ID,Nombre,Clase,Tipo,Rareza,CosteMana,Ataque,Salud,Habilidad,Keywords,FlavorText,Estado
G001,Aprendiz de Espada,Guerrero,Fuego,Común,1,1,2,"Al atacar por primera vez, gana +1/+1","Iniciación","Joven guerrero en entrenamiento","Finalizado"
G002,Guerrero del Trueno,Guerrero,Electricidad,Común,3,3,3,"Al atacar, hace 1 daño a otra criatura enemiga al azar","Cadena","Canaliza energía eléctrica","Finalizado"
G003,Guerrero Glacial,Guerrero,Hielo,Poco Común,4,2,5,"Congela a la criatura que bloquee (no ataca el próximo turno)","Escarcha","Veterano de tierras heladas","Finalizado"
G004,Defensor del Bosque,Guerrero,Naturaleza,Común,2,2,3,"Cura 1 punto al final de tu turno","Regeneración","Protege los bosques","Finalizado"
G005,Guerrero Montaña,Guerrero,Tierra,Poco Común,3,3,4,"No puede ser movido de su zona","Firmeza","Firme como la roca","Finalizado"
G006,Espadachín de Acero,Guerrero,Acero,Rara,5,4,4,"Ignora Armadura y Escudo al atacar","Imparable","Dominio total del acero","Finalizado"
G007,Asesino Silencioso,Guerrero,Veneno,Poco Común,2,1,2,"Tóxico (2), Velocidad","Tóxico,Velocidad","Mata sin ser visto","Finalizado"
G008,Berserker Oscuro,Guerrero,Oscuridad,Rara,4,5,3,"Gana +2/+0 al atacar, pero recibe 2 de daño","Furia Oscura","El dolor lo fortalece","Finalizado"
G009,Paladín de la Luz,Guerrero,Luz,Poco Común,3,2,4,"Al entrar, da +1/+1 a otra criatura aliada","Bendición","Portador de esperanza","Finalizado"
G010,Guerrero de Plasma,Guerrero,Energía,Común,3,4,2,"Puede atacar dos veces, pero muere al final del turno","Sobrecarga","Energía inestable","Finalizado"
G011,Guerrero Psíquico,Guerrero,Psíquico,Rara,4,3,3,"No puede ser bloqueado por criaturas con menos de 3 de ataque","Telepatía","Lee movimientos enemigos","Finalizado"
G012,Berserker Sangriento,Guerrero,Sangre,Épica,5,6,3,"Gana +1/+0 por cada criatura que muera este turno","Sed de Sangre","Se alimenta de la batalla","Finalizado"
T001,Escudo Ardiente,Tanque,Fuego,Común,2,0,5,"Defensor, Al bloquear: hace 1 daño al atacante","Defensor,Escudo de Calor","Escudo que arde intensamente","Finalizado"
T002,Torre de Tormentas,Tanque,Electricidad,Épica,5,0,9,"Defensor, Atrae ataques eléctricos hacia sí","Defensor,Atraer Rayos","Estructura que absorbe electricidad","Finalizado"
T003,Muro de Hielo,Tanque,Hielo,Poco Común,3,0,7,"Defensor, 30% chance de congelar al atacante","Defensor,Reflejo Gélido","Barrera glacial","Finalizado"
T004,Árbol Ancestral,Tanque,Naturaleza,Épica,6,2,12,"Regeneración (2), +2 salud a otros Tanques aliados","Regeneración,Raíces","Árbol milenario protector","Finalizado"
T005,Golem de Piedra,Tanque,Tierra,Rara,5,1,10,"Armadura 2, Ignora efectos 'destruir'","Armadura 2,Inquebrantable","Construcción pétrea","Finalizado"
T006,Barrera de Acero,Tanque,Acero,Poco Común,4,0,8,"Defensor, Doble Armadura si solo defiende","Defensor,Reforzado","Muro metálico impenetrable","Finalizado"
T007,Muro Tóxico,Tanque,Veneno,Poco Común,4,0,9,"Defensor, Atacantes reciben Tóxico (1)","Defensor,Nube Venenosa","Emite gases venenosos","Finalizado"
T008,Guardián Sombrío,Tanque,Oscuridad,Rara,4,1,8,"Defensor, Al bloquear: gana +0/+2","Defensor,Absorción","Entidad que crece al defender","Finalizado"
T009,Baluarte Sagrado,Tanque,Luz,Poco Común,3,1,7,"Defensor, Aliados reciben -1 daño","Defensor,Aura Protectora","Fortificación bendecida","Finalizado"
T010,Cortina Energética,Tanque,Energía,Rara,4,0,6,"Defensor, Anula primer hechizo que te apunte","Defensor,Disipar","Campo de fuerza","Finalizado"
T011,Barrera Mental,Tanque,Psíquico,Poco Común,3,0,5,"Defensor, Solo atacable por criaturas Psíquicas","Defensor,Ilusión","Defensa psicológica","Finalizado"
T012,Tótem Sangrante,Tanque,Sangre,Rara,4,0,8,"Defensor, Puede recibir daño en lugar de aliados","Defensor,Sacrificio","Objeto ritual protector","Finalizado"
U001,Poción de Vida,Útil,Luz,Común,1,0,0,"Cura 3 puntos de vida a una criatura o jugador","Curación","Brebaje de sanación básico","Finalizado"
U002,Poción de Maná,Útil,Energía,Común,1,0,0,"Añade 2 maná básico este turno","Maná Temporal","Elixir energético temporal","Finalizado"